strategy,rationale,n_chunks,mean_chunk_chars,p50_chunk_chars,chunk_ms,embed_ms,build_ms,index_bytes,index_mb,n_queries,recall@1,precision@1,hit@1,recall@5,precision@5,hit@5,recall@10,precision@10,hit@10,mrr@10,ndcg@10,query_p50_ms,query_p95_ms,query_mean_ms
recursive,Descends a separator hierarchy so chunks break on paragraphs and sentences rather than mid-clause.,19998,311.0,295.0,61.391,1299.431,1573.126,57563774,54.9,400,0.2455,0.255,0.255,0.7228,0.152,0.7425,0.907,0.097,0.915,0.4572,0.5628,1.129,1.947,1.24
metadata,"Fixed geometry plus a title/section prefix on the embedded text only, restoring referents that bare passages lose.",20062,311.2,295.0,384.857,1291.045,1640.231,57879542,55.2,400,0.243,0.2525,0.2525,0.7228,0.1525,0.745,0.9024,0.0963,0.9125,0.4542,0.559,1.215,1.849,1.261
contextual,"Overlay that prepends a situating blurb (title + lead) to each chunk before embedding, without altering cited text.",19998,311.0,295.0,292.472,1815.047,1711.274,65986369,62.93,400,0.228,0.24,0.24,0.7103,0.15,0.73,0.8987,0.096,0.9075,0.4526,0.5567,1.181,2.048,1.273
fixed,"Control. Fixed 120-word windows, 24-word overlap. The naive split every other strategy is measured against.",20062,311.2,295.0,374.425,2439.638,1528.016,57386470,54.73,400,0.2405,0.25,0.25,0.7203,0.152,0.7425,0.9024,0.0963,0.9125,0.4512,0.5566,1.208,2.084,1.326
semantic,"Boundaries placed at per-document similarity percentiles, so cuts land where the topic actually changes.",32933,188.5,189,8932.583,1328.841,2484.836,79940908,76.24,400,0.2201,0.235,0.235,0.7045,0.149,0.725,0.8699,0.0927,0.88,0.4387,0.5372,1.699,2.725,2.02
sentence_window,"Retrieve small, read big: indexes one sentence, serves a 7-sentence window to the generator.",63475,97.3,84,402.098,1891.267,4029.007,147926772,141.07,400,0.2276,0.2425,0.2425,0.6757,0.143,0.6975,0.8023,0.0855,0.8175,0.4298,0.5133,1.98,3.521,2.189
minmax,"Weighted sum of min-max normalised scores: keeps within-run margins, but one outlier rescales the whole run.",63475,97.3,84,442.366,2131.339,4350.731,147926772,141.07,400,0.2438,0.26,0.26,0.6794,0.1435,0.7025,0.8111,0.0865,0.8275,0.4407,0.5234,1.97,3.062,2.13
zscore,"Weighted sum of z-scored runs: margin-preserving and outlier-tolerant, assumes roughly symmetric score distributions.",63475,97.3,84,442.366,2131.339,4350.731,147926772,141.07,400,0.2413,0.2575,0.2575,0.6782,0.1435,0.7,0.8111,0.0865,0.8275,0.4408,0.5232,2.046,3.115,2.175
rrf,"Reciprocal Rank Fusion: rank-only, so a run with an uncalibrated score scale cannot dominate.",63475,97.3,84,442.366,2131.339,4350.731,147926772,141.07,400,0.2301,0.245,0.245,0.6757,0.143,0.6975,0.8023,0.0855,0.8175,0.4314,0.5145,1.951,2.838,2.053
sparse,Control: BM25 only. Isolates what the dense run contributes.,63475,97.3,84,442.366,2131.339,4350.731,147926772,141.07,400,0.2476,0.2625,0.2625,0.6632,0.14,0.6875,0.7628,0.0815,0.7775,0.4207,0.4972,2.054,3.109,2.178
dense,Control: HNSW only. Isolates what the sparse run contributes.,63475,97.3,84,442.366,2131.339,4350.731,147926772,141.07,400,0.2151,0.225,0.225,0.6503,0.138,0.6725,0.7511,0.08,0.77,0.3991,0.4794,2.04,2.996,2.142
